key,author,publication_year,title,doi,potentially_counfounded_analysis_present,text_indicating_potentially_counfounded_analysis_present,page,,,,,,,,,,,,,,,,
U9MEQRLF,"Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Power, Patricia; Hayden, Eilish; Milne, Rebecca; Stewart, Ian",2006,Do You Really Know What You Believe? Developing the Implicit Relational Assessment Procedure (IRAP) as a direct measure of implicit beliefs,,TRUE,"Results from the study showed that the mean adjusted response latencies from the IRAP were significantly longer on inconsistent tasks relative to consistent tasks for each of the three groups ... perhaps, therefore, the current results indicate that autism professionals are unwilling or unable to express (perhaps even to themselves) negative views of children with a diagnosis of autism.",173,,,,,,,,,,,,,,,,
TH3BR6FI,"McKenna, Ian M.; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Stewart, Ian",2007,Testing the fake-ability of the Implicit Relational Assessment Procedure (IRAP): The first study,,TRUE,"The difference between consistent and inconsistent IRAP conditions was in the same direction for both test orders (i.e., faster response latencies for consistent versus inconsistent trial-types), … Table 3. Results From the Six ANOVAs Comparing Consistent with Inconsistent IRAP Trial-Types for Each Group for Each IRAP Exposure.",263,,,,,,,,,,,,,,,,
4CEZ6TIR,"Barnes-Holmes, Dermot; Hayden, Eilish; Barnes-Holmes, Yvonne; Stewart, Ian",2008,The Implicit Relational Assessment Procedure (IRAP) as a response-time and event-related-potentials methodology for testing natural verbal relations: A preliminary study,https://doi.org/10.1007/BF03395634,TRUE,as a response-time and event-related-potentials methodology for testing natural verbal relations,505,,,,,,,,,,,,,,,,
SW5N2RT6,"Cullen, Claire; Barnes-Holmes, Dermot",2008,Implicit pride and prejudice: A heterosexual phenomenon?,,TRUE,"Critically, however, the groups diverged when responding to ‘Gay-Negative’ trial-types. Specifically, the heterosexual group confirmed the statements more quickly (positive Dscore) than the non-heterosexual group who denied them more quickly (negative D-score). Although the data set are not yet complete, it is worth noting that only this final Gay-Negative trial type produces a group difference that approaches significance (p = .07).",38,,,,,,,,,,,,,,,,
YH3THVLA,"Barnes-Holmes, Dermot; Waldron, Deirdre; Barnes-Holmes, Yvonne; Stewart, Ian",2009,Testing the validity of the Implicit Relational Assessment Procedure and the Implicit Association Test: Measuring attitudes toward Dublin and country life in Ireland,https://doi.org/10.1007/BF03395671,TRUE,One-sample t tests were conducted to determine if the D-IRAP scores for each group differed significantly from zero.,400,,,,,,,,,,,,,,,,
HBZRS6Z5,"Chan, Gail; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Stewart, Ian",2009,Implicit attitudes to work and leisure among North American and Irish individuals: A preliminary study,,TRUE,"Two one-sample t-tests indicated that the IAT effects for both groups differed significantly from zero; North American, t (31)= 5.7, p <.0001 and Irish, t (31)= 6.5, p <.0001",324,,,,,,,,,,,,,,,,
9HH33WL4,"Cullen, Claire; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Stewart, Ian",2009,The Implicit Relational Assessment Procedure (IRAP) and the malleability of ageist attitudes,https://doi.org/10.1007/BF03395683,TRUE,"The data indicate that the difference between consistent and inconsistent trials was relatively small for the â€œyoung peopleâ€ samples, although it was in a pro-young direction. Critically, however, the consistentâ€“ inconsistent difference was relatively large and in the opposite direction for the â€œold peopleâ€ samples. More informally, the participants did not show a strong preference for young people, but did show a relatively strong preference for old.",606,,,,,,,,,,,,,,,,
Z2VKAYVL,"Dawson, David L.; Barnes-Holmes, Dermot; Gresswell, David M.; Hart, Aidan J.; Gore, Nick J.",2009,Assessing the implicit beliefs of sexual offenders using the Implicit Relational Assessment Procedure: A first study,10.1177/1079063208326928,TRUE,"Scores that approach zero indicate no discrimination between adults or children as sexual or nonsexual. … Eight planned one-sample t tests were used to determine if the D-IRAP scores for each of the trial-types for both groups were significantly different from zero. All but one of the t tests proved to be significant (all ps < .03), with the nonsignificant effect obtained for the Child – Sexual trial-type for the offender group (p > .96).",66 - 67,,,,,,,,,,,,,,,,
Y5CRDHB5,"O'Toole, Catriona; Barnes-Holmes, Dermot",2009,Three chronometric indices of relational responding as predictors of performance on a Brief Intelligence Test: The importance of relational flexibility,10.1007/BF03395652,TRUE,"Paired-samples t-tests indicated that these differences were significant: for consistent (t[40] = 9.99, p < .0001, Î·2 = .71) and inconsistent blocks (t[40] = 3.21, p = .003, Î·2 = .20). These results indicate that before/after relational responding was more difficult (because it required more time) than similar/different responding.",127,,,,,,,,,,,,,,,,
F6KRSLDK,"Power, Patricia; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Stewart, Ian",2009,The Implicit Relational Assessment Procedure (IRAP) as a measure of implicit relative preferences: A first study,10.1007/BF03395684,TRUE,"Analyses indicated that the difference in latencies between consistent and inconsistent trials reached statistical significance, F(1, 14) = 52.519, p < .0001, Î·p2 = .9,",629,,,,,,,,,,,,,,,,
