unique_id,timepoint,domain,gender,age,block_order,block_type,trial_type,rt,accuracy,mean_rt
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1629,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,973,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,605,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1015,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1728,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1554,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,798,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1291,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,798,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,923,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1273,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,980,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1647,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1087,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1114,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,536,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1128,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,1061,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1039,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1088,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1244,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1046,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,1079,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,932,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,855,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,2099,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,798,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,910,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,919,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,963,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,835,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1463,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,1596,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1015,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1991,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,928,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,725,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,889,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1573,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,1663,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,761,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,856,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,743,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1189,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,1240,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1447,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,824,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,959,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1709,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,707,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,928,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,907,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,826,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1397,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,724,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,926,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,862,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1077,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1269,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,1003,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1334,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1502,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1030,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1198,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,2037,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,906,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,732,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1261,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,1355,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,886,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,906,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1642,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1619,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,672,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,1082,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1008,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1031,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,969,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,802,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1036,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1769,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,857,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,887,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1170,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,761,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,931,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1017,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1100,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,887,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,901,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1521,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,2401,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1037,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt1,777,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,1702,0,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,957,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,2139,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,897,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1649,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,840,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1208,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1198,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1477,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,905,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1808,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,765,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,729,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,963,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,918,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,772,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1167,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1211,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1371,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1095,0,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,875,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1210,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt4,1376,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt3,1269,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt2,1369,1,1124
Non-words 3,baseline,Non-words,Female,17,con,con,tt1,614,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt3,1958,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt4,752,1,1124
Non-words 3,baseline,Non-words,Female,17,con,incon,tt2,1110,1,1124
